,Hours,NO1,NO2,NO3,NO4,NO5,NO
23-01-2020,20 - 21,5521,4798,3665,2440,2161,18584
23-01-2020,21 - 22,5333,4611,3636,2552,2144,18276
23-01-2020,22 - 23,4987,4508,3473,2510,2106,17583
23-01-2020,23 - 00,4647,4395,3338,2450,2016,16846
24-01-2020,00 - 01,4394,4236,3186,2435,1945,16196
24-01-2020,01 - 02,4243,4121,3173,2371,1916,15823
24-01-2020,02 - 03,4167,4125,3205,2367,1909,15772
24-01-2020,03 - 04,4151,4116,3259,2376,1903,15805
24-01-2020,04 - 05,4196,4213,3274,2389,1916,15988
24-01-2020,05 - 06,4436,4444,3345,2427,1907,16558
24-01-2020,06 - 07,5069,4684,3493,2498,2061,17804
24-01-2020,07 - 08,5707,5085,3646,2659,2297,19394
24-01-2020,08 - 09,5813,5162,3796,2669,2306,19746
24-01-2020,09 - 10,5778,5099,3749,2638,2290,19555
24-01-2020,10 - 11,5714,5097,3787,2678,2323,19599
24-01-2020,11 - 12,5449,5020,3748,2676,2288,19181
24-01-2020,12 - 13,5243,4896,3716,2665,2270,18789
24-01-2020,13 - 14,5175,4827,3797,2662,2257,18717
24-01-2020,14 - 15,5138,4798,3820,2677,2250,18682
24-01-2020,15 - 16,5176,4795,3799,2692,2253,18715
24-01-2020,16 - 17,5411,4905,3847,2674,2319,19157
24-01-2020,17 - 18,5511,4991,3862,2679,2446,19489
24-01-2020,18 - 19,5397,5129,3779,2665,2413,19382
24-01-2020,19 - 20,5390,4943,3710,2637,2287,18968
24-01-2020,20 - 21,5328,4677,3707,2617,2258,18586
24-01-2020,21 - 22,5156,4482,3631,2559,2204,18032
24-01-2020,22 - 23,4889,4346,3568,2515,2121,17437
24-01-2020,23 - 00,4698,4273,3438,2487,2101,16996
25-01-2020,00 - 01,4426,4406,3409,2489,1983,16713
25-01-2020,01 - 02,4314,4347,3324,2403,1964,16352
25-01-2020,02 - 03,4200,4334,3275,2405,1969,16183
25-01-2020,03 - 04,4159,4291,3286,2372,1967,16074
25-01-2020,04 - 05,4185,4290,3309,2336,1955,16074
25-01-2020,05 - 06,4285,4315,3219,2309,1964,16092
25-01-2020,06 - 07,4464,4350,3300,2363,1982,16459
25-01-2020,07 - 08,4665,4503,3391,2459,2025,17043
25-01-2020,08 - 09,4920,4613,3402,2548,2091,17572
25-01-2020,09 - 10,5130,4783,3525,2616,2148,18203
25-01-2020,10 - 11,5295,4878,3603,2626,2195,18597
25-01-2020,11 - 12,5337,4898,3648,2657,2227,18766
25-01-2020,12 - 13,5289,4840,3563,2580,2229,18500
25-01-2020,13 - 14,5218,4761,3388,2589,2223,18178
25-01-2020,14 - 15,5201,4640,3265,2606,2215,17926
25-01-2020,15 - 16,5207,4635,3406,2598,2195,18041
25-01-2020,16 - 17,5320,4957,3505,2602,2217,18601
25-01-2020,17 - 18,5413,4810,3469,2613,2264,18569
25-01-2020,18 - 19,5366,4847,3477,2647,2247,18584
25-01-2020,19 - 20,5207,4747,3519,2644,2205,18322
25-01-2020,20 - 21,5011,4662,3445,2552,2134,17805
25-01-2020,21 - 22,4847,4542,3412,2458,2097,17356
25-01-2020,22 - 23,4660,4434,3328,2512,2039,16972
25-01-2020,23 - 00,4484,4263,3227,2446,1991,16411
26-01-2020,00 - 01,4337,4227,3130,2351,1945,15989
26-01-2020,01 - 02,4180,4162,3040,2348,1922,15652
26-01-2020,02 - 03,4102,4175,2985,2323,1905,15490
26-01-2020,03 - 04,4078,4111,2990,2313,1899,15391
26-01-2020,04 - 05,4068,4021,2977,2322,1897,15284
26-01-2020,05 - 06,4072,4061,2966,2364,1899,15362
26-01-2020,06 - 07,4161,4193,2940,2403,1911,15608
26-01-2020,07 - 08,4287,4293,2983,2451,1950,15964
26-01-2020,08 - 09,4509,4372,3046,2493,1985,16406
26-01-2020,09 - 10,4746,4493,3040,2570,2036,16885
26-01-2020,10 - 11,4958,4484,3058,2586,2092,17178
26-01-2020,11 - 12,5044,4535,3114,2643,2126,17462
26-01-2020,12 - 13,5006,4600,3199,2675,2132,17611
26-01-2020,13 - 14,4905,4606,3314,2655,2076,17556
26-01-2020,14 - 15,4850,4576,3324,2673,2150,17572
26-01-2020,15 - 16,4900,4688,3344,2777,2161,17869
26-01-2020,16 - 17,5099,4849,3431,2784,2186,18348
26-01-2020,17 - 18,5223,4797,3452,2750,2211,18433
26-01-2020,18 - 19,5180,4684,3366,2815,2200,18246
26-01-2020,19 - 20,5052,4675,3290,2736,2192,17946
26-01-2020,20 - 21,4896,4622,3265,2743,2172,17697
26-01-2020,21 - 22,4747,4523,3254,2664,2124,17312
26-01-2020,22 - 23,4538,4419,3244,2655,2052,16908
26-01-2020,23 - 00,4302,4264,3171,2603,1999,16339
27-01-2020,00 - 01,4109,4199,3097,2536,1961,15902
27-01-2020,01 - 02,3954,4097,3145,2539,1923,15657
27-01-2020,02 - 03,3864,4020,3066,2501,1913,15364
27-01-2020,03 - 04,3903,4107,3108,2466,1908,15491
27-01-2020,04 - 05,3968,4245,3103,2521,1921,15758
27-01-2020,05 - 06,4146,4282,3204,2586,1970,16189
27-01-2020,06 - 07,4769,4614,3419,2698,2073,17572
27-01-2020,07 - 08,5357,4999,3614,2870,2228,19068
27-01-2020,08 - 09,5511,5078,3641,2944,2257,19431
27-01-2020,09 - 10,5188,5077,3675,2938,2562,19440
27-01-2020,10 - 11,4970,5064,3730,2930,2725,19418
27-01-2020,11 - 12,4918,5045,3640,2886,2703,19193
27-01-2020,12 - 13,4921,4930,3659,2859,2717,19087
27-01-2020,13 - 14,4914,4931,3697,2974,2761,19277
27-01-2020,14 - 15,4932,4858,3755,2942,2804,19290
27-01-2020,15 - 16,5007,4836,3738,3083,2792,19456
27-01-2020,16 - 17,5090,5007,3793,3003,2765,19658
27-01-2020,17 - 18,5108,5051,3625,2904,2802,19489
27-01-2020,18 - 19,5025,5041,3584,2855,2766,19271
27-01-2020,19 - 20,4920,5010,3661,2806,2735,19131
27-01-2020,20 - 21,4852,4937,3600,2786,2677,18853
27-01-2020,21 - 22,4712,4824,3555,2785,2668,18545
27-01-2020,22 - 23,4412,4678,3476,2750,2592,17907
27-01-2020,23 - 00,4154,4332,3318,2660,2433,16897
28-01-2020,00 - 01,3932,4318,3171,2598,2359,16378
28-01-2020,01 - 02,3809,4306,3183,2581,2278,16158
28-01-2020,02 - 03,3745,4310,3237,2572,2244,16108
28-01-2020,03 - 04,3742,4350,3223,2577,2247,16138
28-01-2020,04 - 05,3792,4386,3227,2590,2279,16275
28-01-2020,05 - 06,4027,4418,3285,2610,2297,16637
28-01-2020,06 - 07,4539,4777,3455,2732,2536,18039
28-01-2020,07 - 08,5038,5082,3730,2928,2874,19652
28-01-2020,08 - 09,5142,5216,3815,2957,2843,19973
28-01-2020,09 - 10,5077,5169,3807,2948,2782,19783
28-01-2020,10 - 11,5018,5147,3708,2946,2779,19598
28-01-2020,11 - 12,5021,5143,3686,2903,2773,19527
28-01-2020,12 - 13,5036,5133,3691,2891,2804,19556
28-01-2020,13 - 14,5042,5246,3647,2963,2849,19747
28-01-2020,14 - 15,5087,5361,3672,3142,2870,20133
28-01-2020,15 - 16,5124,5269,3655,3129,2876,20052
28-01-2020,16 - 17,5288,5321,3697,3170,2917,20394
28-01-2020,17 - 18,5311,5311,3812,3062,3025,20521
28-01-2020,18 - 19,5205,5250,3796,2896,2981,20127
28-01-2020,19 - 20,5142,5217,3852,2831,2935,19978
28-01-2020,20 - 21,5123,5111,3717,2823,2812,19585
28-01-2020,21 - 22,4969,5038,3780,2828,2734,19348
28-01-2020,22 - 23,4756,4849,3640,2779,2564,18588
28-01-2020,23 - 00,4547,4609,3617,2688,2359,17820
29-01-2020,00 - 01,4315,4451,3471,2646,2338,17219
29-01-2020,01 - 02,4157,4461,3443,2562,2278,16899
29-01-2020,02 - 03,4117,4385,3334,2533,2210,16578
29-01-2020,03 - 04,4064,4381,3276,2553,2229,16503
29-01-2020,04 - 05,4056,4393,3201,2577,2282,16510
29-01-2020,05 - 06,4235,4499,3306,2600,2378,17018
29-01-2020,06 - 07,4754,4888,3559,2699,2585,18484
29-01-2020,07 - 08,5172,5295,3724,2838,2961,19990
29-01-2020,08 - 09,5236,5283,3838,2905,3041,20303
29-01-2020,09 - 10,5182,5238,3804,2904,2993,20120
29-01-2020,10 - 11,5143,5222,3788,2889,2958,19999
29-01-2020,11 - 12,5075,5140,3803,2899,2947,19863
29-01-2020,12 - 13,5062,5122,3832,2875,2905,19795
29-01-2020,13 - 14,5011,5081,3803,2829,2822,19545
29-01-2020,14 - 15,5000,5089,3826,2837,2876,19628
29-01-2020,15 - 16,5055,5085,3813,2880,2863,19696
29-01-2020,16 - 17,5248,5137,3836,2913,2959,20093
29-01-2020,17 - 18,5241,5163,3833,2877,3057,20171
29-01-2020,18 - 19,5164,5117,3800,2804,2997,19883
29-01-2020,19 - 20,5133,5100,3790,2780,2867,19670
29-01-2020,20 - 21,5097,5097,3794,2753,2742,19483
29-01-2020,21 - 22,4960,4984,3742,2745,2698,19129
29-01-2020,22 - 23,4738,4786,3580,2721,2534,18358
29-01-2020,23 - 00,4533,4533,3454,2665,2373,17558
30-01-2020,00 - 01,4408,4432,3383,2527,2204,16955
30-01-2020,01 - 02,4268,4311,3366,2501,2162,16608
30-01-2020,02 - 03,4215,4293,3250,2439,2126,16322
30-01-2020,03 - 04,4191,4318,3290,2467,2129,16396
30-01-2020,04 - 05,4208,4398,3410,2499,2163,16678
30-01-2020,05 - 06,4271,4558,3387,2484,2369,17069
30-01-2020,06 - 07,4758,4951,3535,2567,2620,18431
30-01-2020,07 - 08,5325,5326,3788,2723,2886,20048
30-01-2020,08 - 09,5491,5412,3880,2813,2939,20535
30-01-2020,09 - 10,5440,5335,3759,2810,2933,20276
30-01-2020,10 - 11,5370,5383,3709,2830,2896,20188
30-01-2020,11 - 12,5366,5218,3748,2808,2844,19983
30-01-2020,12 - 13,5359,5220,3722,2763,2843,19907
30-01-2020,13 - 14,5349,5188,3747,2780,2870,19935
30-01-2020,14 - 15,5377,5331,3820,2828,2856,20212
30-01-2020,15 - 16,5405,5329,3799,2848,2929,20310
30-01-2020,16 - 17,5515,5404,3845,2857,2947,20568
30-01-2020,17 - 18,5576,5454,3935,2868,2981,20815
30-01-2020,18 - 19,5496,5438,3777,2807,2952,20470
30-01-2020,19 - 20,5442,5233,3812,2803,2884,20173
30-01-2020,20 - 21,5420,5132,3661,2726,2743,19682
30-01-2020,21 - 22,5448,5034,3514,2725,2584,19304
30-01-2020,22 - 23,5260,4854,3570,2680,2385,18748
30-01-2020,23 - 00,5126,4673,3426,2593,2214,18030
31-01-2020,00 - 01,4895,4468,3369,2570,2115,17416
31-01-2020,01 - 02,4822,4514,3347,2567,2065,17314
31-01-2020,02 - 03,4622,4472,3288,2540,2088,17009
31-01-2020,03 - 04,4565,4488,3303,2525,2085,16966
31-01-2020,04 - 05,4543,4585,3291,2516,2084,17020
31-01-2020,05 - 06,4717,4772,3320,2577,2172,17558
31-01-2020,06 - 07,5054,5054,3480,2610,2471,18668
31-01-2020,07 - 08,5487,5342,3826,2763,2814,20231
31-01-2020,08 - 09,5577,5319,3960,2811,2861,20529
31-01-2020,09 - 10,5535,5297,3891,2854,2885,20461
31-01-2020,10 - 11,5498,5364,3810,2811,2869,20351
31-01-2020,11 - 12,5499,5290,3763,2791,2869,20213
31-01-2020,12 - 13,5411,5230,3792,2818,2810,20061
31-01-2020,13 - 14,5320,5213,3769,2783,2681,19765
31-01-2020,14 - 15,5235,5195,3764,2739,2714,19646
31-01-2020,15 - 16,5178,5094,3759,2789,2792,19611
31-01-2020,16 - 17,5207,5148,3805,2733,2839,19733
31-01-2020,17 - 18,5300,5202,3685,2769,2866,19821
31-01-2020,18 - 19,5262,5146,3568,2798,2832,19607
31-01-2020,19 - 20,5178,4929,3575,2708,2719,19109
31-01-2020,20 - 21,5105,4869,3550,2681,2468,18674
31-01-2020,21 - 22,4998,4731,3377,2702,2307,18115
31-01-2020,22 - 23,4736,4588,3280,2669,2192,17465
31-01-2020,23 - 00,4718,4328,3180,2600,2061,16886
1/2/20,00 - 01,4629,4211,2875,2481,1941,16136
1/2/20,01 - 02,4406,4271,3140,2483,1911,16210
1/2/20,02 - 03,4293,4169,3158,2415,1817,15852
1/2/20,03 - 04,4241,4059,3124,2466,1800,15689
1/2/20,04 - 05,4241,4132,3159,2463,1784,15778
1/2/20,05 - 06,4280,4216,3194,2454,1786,15930
1/2/20,06 - 07,4363,4220,3257,2482,1833,16155
1/2/20,07 - 08,4536,4361,3356,2558,1865,16677
1/2/20,08 - 09,4689,4484,3409,2576,1966,17123
1/2/20,09 - 10,4835,4605,3479,2610,2093,17622
1/2/20,10 - 11,4933,4677,3472,2692,2173,17946
1/2/20,11 - 12,4932,4648,3481,2670,2150,17879
1/2/20,12 - 13,4871,4619,3568,2633,2140,17831
1/2/20,13 - 14,4881,4544,3522,2587,2122,17656
1/2/20,14 - 15,4822,4536,3470,2558,2126,17512
1/2/20,15 - 16,4869,4583,3466,2633,2091,17642
1/2/20,16 - 17,4920,4633,3486,2652,2205,17897
1/2/20,17 - 18,4952,4900,3742,2721,2288,18601
1/2/20,18 - 19,4829,4808,3667,2668,2318,18289
1/2/20,19 - 20,4826,4736,3661,2637,2187,18047
1/2/20,20 - 21,4729,4638,3586,2594,2100,17648
1/2/20,21 - 22,4659,4574,3538,2532,2052,17355
1/2/20,22 - 23,4516,4543,3444,2477,1977,16956
1/2/20,23 - 00,4336,4471,3340,2441,1972,16560
2/2/20,00 - 01,4191,4337,3319,2404,1921,16172
2/2/20,01 - 02,4169,4365,3273,2367,1855,16029
2/2/20,02 - 03,4168,4344,3243,2361,1839,15955
2/2/20,03 - 04,4122,4327,3252,2355,1846,15901
2/2/20,04 - 05,4126,4313,3208,2345,1870,15862
2/2/20,05 - 06,4148,4329,3231,2373,1896,15977
2/2/20,06 - 07,4238,4297,3186,2392,1988,16101
2/2/20,07 - 08,4364,4449,3238,2459,2031,16541
2/2/20,08 - 09,4505,4612,3489,2526,2104,17236
2/2/20,09 - 10,4538,4632,3402,2527,2279,17378
2/2/20,10 - 11,4516,4648,3595,2549,2405,17714
2/2/20,11 - 12,4574,4635,3635,2573,2439,17855
2/2/20,12 - 13,4510,4599,3487,2610,2413,17619
2/2/20,13 - 14,4395,4563,3536,2671,2414,17579
2/2/20,14 - 15,4353,4603,3500,2628,2485,17568
2/2/20,15 - 16,4367,4723,3539,2682,2578,17889
2/2/20,16 - 17,4567,4902,3549,2696,2652,18366
2/2/20,17 - 18,4854,4974,3583,2724,2694,18829
2/2/20,18 - 19,4852,4955,3564,2655,2718,18743
2/2/20,19 - 20,4856,4943,3546,2665,2704,18715
2/2/20,20 - 21,4879,4906,3601,2650,2650,18686
2/2/20,21 - 22,4845,4869,3579,2659,2596,18548
2/2/20,22 - 23,4673,4731,3493,2596,2525,18017
2/2/20,23 - 00,4502,4639,3407,2537,2452,17537
3/2/20,00 - 01,4457,4550,3281,2487,2243,17017
3/2/20,01 - 02,4448,4506,3321,2441,2075,16791
3/2/20,02 - 03,4362,4482,3366,2446,2138,16793
3/2/20,03 - 04,4434,4482,3379,2490,2080,16866
3/2/20,04 - 05,4459,4643,3368,2489,2187,17145
3/2/20,05 - 06,4514,4877,3392,2526,2527,17836
3/2/20,06 - 07,4977,5225,3621,2587,2869,19278
3/2/20,07 - 08,5647,5538,3858,2701,3057,20800
3/2/20,08 - 09,5824,5686,3958,2744,3126,21338
3/2/20,09 - 10,5749,5812,3947,2770,3196,21474
3/2/20,10 - 11,5609,5562,3904,2804,3218,21098
3/2/20,11 - 12,5440,5031,3796,2754,3172,20192
3/2/20,12 - 13,5342,5267,3745,2760,3092,20206
3/2/20,13 - 14,5295,5310,3730,2783,3069,20187
3/2/20,14 - 15,5296,5430,3732,2794,3030,20281
3/2/20,15 - 16,5749,5619,3760,2798,2682,20607
3/2/20,16 - 17,6109,5842,3775,2808,2508,21042
3/2/20,17 - 18,6235,5861,3798,2768,2543,21204
3/2/20,18 - 19,6140,5808,3646,2782,2507,20883
3/2/20,19 - 20,6008,5795,3671,2711,2488,20672
3/2/20,20 - 21,5902,5673,3746,2680,2438,20439
3/2/20,21 - 22,5820,5421,3700,2667,2427,20035
3/2/20,22 - 23,5563,5250,3538,2652,2366,19367
3/2/20,23 - 00,5244,5017,3559,2601,2271,18692
4/2/20,00 - 01,4939,4759,3472,2570,2196,17935
4/2/20,01 - 02,4772,4646,3367,2455,2146,17387
4/2/20,02 - 03,4681,4670,3453,2519,2096,17419
4/2/20,03 - 04,4670,4740,3468,2450,2179,17507
4/2/20,04 - 05,4753,4744,3500,2470,2127,17594
4/2/20,05 - 06,5016,4840,3588,2575,2157,18175
4/2/20,06 - 07,5635,5198,3863,2748,2356,19800
4/2/20,07 - 08,6277,5541,4138,2980,2471,21406
4/2/20,08 - 09,6341,5566,4062,2984,2531,21484
4/2/20,09 - 10,6316,5477,3987,2900,2536,21216
4/2/20,10 - 11,6278,5400,4037,2867,2516,21097
4/2/20,11 - 12,6221,5340,3933,2781,2469,20744
4/2/20,12 - 13,6094,5242,3941,2741,2444,20462
4/2/20,13 - 14,5910,5263,3938,2790,2370,20271
4/2/20,14 - 15,5822,5214,3849,2797,2399,20080
4/2/20,15 - 16,5873,5242,3876,2921,2356,20268
4/2/20,16 - 17,6080,5347,3895,2890,2379,20592
4/2/20,17 - 18,6353,5444,3843,2774,2449,20863
4/2/20,18 - 19,6338,5467,3739,2705,2482,20731
4/2/20,19 - 20,6298,5451,3842,2721,2463,20775
4/2/20,20 - 21,6260,5410,3676,2742,2441,20528
4/2/20,21 - 22,6101,5291,3590,2749,2375,20106
4/2/20,22 - 23,5826,5185,3474,2678,2325,19488
4/2/20,23 - 00,5519,4986,3400,2591,2176,18671
5/2/20,00 - 01,5282,4885,3324,2594,2199,18284
5/2/20,01 - 02,5150,4717,3258,2580,2146,17850
5/2/20,02 - 03,5058,4752,3243,2585,2123,17761
5/2/20,03 - 04,5059,4765,3239,2565,2137,17764
5/2/20,04 - 05,5089,4835,3322,2614,2139,17999
5/2/20,05 - 06,5213,4998,3380,2644,2172,18408
5/2/20,06 - 07,5886,5284,3563,2766,2301,19800
5/2/20,07 - 08,6497,5525,3767,2929,2475,21193
5/2/20,08 - 09,6573,5581,3833,2853,2491,21331
5/2/20,09 - 10,6440,5611,3683,2900,2453,21087
5/2/20,10 - 11,6328,5502,3746,2839,2400,20815
5/2/20,11 - 12,6147,5481,3740,2888,2399,20655
5/2/20,12 - 13,5961,5363,3738,2801,2398,20260
5/2/20,13 - 14,5883,5349,3716,2779,2268,19994
5/2/20,14 - 15,5888,5294,3754,2890,2357,20183
5/2/20,15 - 16,5930,5256,3631,2911,2341,20068
5/2/20,16 - 17,6003,5341,3728,2947,2367,20386
5/2/20,17 - 18,6110,5376,3859,2914,2362,20620
5/2/20,18 - 19,6006,5217,3795,2831,2333,20181
5/2/20,19 - 20,5873,5112,3761,2850,2287,19883
5/2/20,20 - 21,5741,5075,3764,2820,2180,19579
5/2/20,21 - 22,5533,5010,3683,2808,2211,19244
5/2/20,22 - 23,5234,4841,3587,2746,2108,18516
5/2/20,23 - 00,4986,4601,3519,2716,2024,17846
6/2/20,00 - 01,4790,4479,3396,2653,1942,17261
6/2/20,01 - 02,4651,4380,3335,2551,1914,16831
6/2/20,02 - 03,4557,4325,3373,2528,1885,16666
6/2/20,03 - 04,4536,4354,3298,2576,1887,16651
6/2/20,04 - 05,4578,4416,3293,2580,1916,16784
6/2/20,05 - 06,4734,4545,3235,2623,1988,17125
6/2/20,06 - 07,5381,4915,3425,2710,2049,18480
6/2/20,07 - 08,6051,5292,3667,2888,2239,20138
6/2/20,08 - 09,6191,5374,3733,2860,2285,20442
6/2/20,09 - 10,6054,5261,3765,2777,2276,20133
6/2/20,10 - 11,5850,5206,3754,2783,2263,19856
6/2/20,11 - 12,5659,5217,3785,2840,2235,19735
6/2/20,12 - 13,5553,5134,3695,2852,2222,19455
6/2/20,13 - 14,5449,5050,3623,2774,2206,19102
6/2/20,14 - 15,5444,5027,3644,2731,2211,19057
6/2/20,15 - 16,5491,4981,3641,2821,2211,19145
